128,-247.4844258,13.10607842,-260.5905043,-247.4844258,0,,,,
129,47.78605752,268.1386678,-220.3526103,47.78605752,0,,,,
130,18.4187397,-85.78327775,104.2020175,18.4187397,0,,,,
131,73.89276322,-117.2781773,191.1709405,73.89276322,0,,,,
132,134.9197851,85.18723765,49.73254742,134.9197851,0,,,,
133,-27.8912185,-2.865076974,-25.02614153,-27.8912185,0,,,,
134,87.17891492,10.97369577,76.20521915,87.17891492,0,,,,
135,365.9978978,145.9667784,220.0311194,365.9978978,0,,,,
136,-101.2235054,-37.27312441,-63.95038096,-101.2235054,0,,,,
137,40.19006541,-54.06279398,94.25285939,40.19006541,0,,,,
138,93.20000677,67.43926231,25.76074446,93.20000677,0,,,,
139,12.25975863,7.644715895,4.615042737,12.25975863,0,,,,
140,-3.545463532,3.037882541,-6.583346073,-3.545463532,0,,,,
141,86.72909198,6.946882327,79.78220965,86.72909198,0,,,,
142,0.537330989,-100.817064,101.354395,0.537330989,0,,,,
143,19.27527144,-253.5901109,272.8653824,19.27527144,0,,,,
144,94.12220721,118.671086,-24.5488788,94.12220721,0,,,,
145,-3.951227638,36.41052229,-40.36174992,-3.951227638,0,,,,
146,13.10607842,-40.28535812,53.39143654,13.10607842,0,,,,
147,268.1386678,127.2789513,140.8597165,268.1386678,0,,,,
148,-85.78327775,94.55628842,-180.3395662,-85.78327775,0,,,,
149,-117.2781773,111.4532216,-228.7313989,-117.2781773,0,,,,
150,85.18723765,76.24757659,8.939661066,85.18723765,0,,,,
151,-2.865076974,22.17639019,-25.04146717,-2.865076974,0,,,,
152,10.97369577,-9.349744674,20.32344045,10.97369577,0,,,,
153,145.9667784,89.96156038,56.00521804,145.9667784,0,,,,
154,-37.27312441,37.62010004,-74.89322446,-37.27312441,0,,,,
155,-54.06279398,61.99246928,-116.0552633,-54.06279398,0,,,,
156,67.43926231,68.96835443,-1.52909212,67.43926231,0,,,,
157,7.644715895,-0.993225984,8.637941878,7.644715895,0,,,,
158,3.037882541,-29.06528586,32.1031684,3.037882541,0,,,,
159,6.946882327,66.96407666,-60.01719433,6.946882327,0,,,,
160,-100.817064,-12.26041964,-88.55664433,-100.817064,0,,,,
161,-253.5901109,-35.0810405,-218.5090704,-253.5901109,0,,,,
162,118.671086,149.4930187,-30.8219327,118.671086,0,,,,
163,36.41052229,45.2777948,-8.867272517,36.41052229,0,,,,
164,-40.28535812,-153.1200927,112.8347346,-40.28535812,0,,,,
165,127.2789513,21.91819838,105.360753,127.2789513,0,,,,
166,94.55628842,10.77835507,83.77793335,94.55628842,0,,,,
167,111.4532216,4.891154579,106.562067,111.4532216,0,,,,
168,76.24757659,89.84180864,-13.59423206,76.24757659,0,,,,
169,22.17639019,-99.49471049,121.6711007,22.17639019,0,,,,
170,-9.349744674,56.30475877,-65.65450345,-9.349744674,0,,,,
171,89.96156038,417.4789895,-327.5174291,89.96156038,0,,,,
172,37.62010004,-106.9801024,144.6002024,37.62010004,0,,,,
173,61.99246928,-122.1676682,184.1601374,61.99246928,0,,,,
174,68.96835443,82.38331255,-13.41495812,68.96835443,0,,,,
175,-0.993225984,22.40682104,-23.40004702,-0.993225984,0,,,,
176,-29.06528586,14.77462151,-43.83990736,-29.06528586,0,,,,
177,66.96407666,51.9795426,14.98453407,66.96407666,0,,,,
178,-12.26041964,-5.2673782,-6.993041442,-12.26041964,0,,,,
179,-35.0810405,-65.23078266,30.14974216,-35.0810405,0,,,,
,,,0,,,,,,
